Anexo III,,,,,,,,,,,,,,,,
Tabela I,,,,,,,,,,,,,,,2285,
Tabela Nacional Grupos de Diagnóstico Homogéneo,,,,,,,,,,,,,,,,
All Patient Refined DRG,,,,,,,,,,,,,,,,
Preço base nacional,,2285,,,,,,,,,,,,,,
A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,
468,"Outros diagnósticos, sinais e/ou sintomas no rim e/ou vias urinárias",1,M,0.3551,811.4035,0.0463063457330416,105.81,352.79675,-,1,14,21,5.14,963.131051510083,126.972,
468,"Outros diagnósticos, sinais e/ou sintomas no rim e/ou vias urinárias",2,M,0.583,1332.155,0.0463063457330416,105.81,613.1725,-,1,24,36,8.01,1332.155,126.972,
468,"Outros diagnósticos, sinais e/ou sintomas no rim e/ou vias urinárias",3,M,0.9801,2239.5285,0.0463063457330416,105.81,1066.85925,-,1,32,47,11.76,2239.5285,126.972,
468,"Outros diagnósticos, sinais e/ou sintomas no rim e/ou vias urinárias",4,M,3.0222,6905.727,-,-,1381.1454,-,4,49,72,19.82,6905.727,-,
,,,,,,,,,,,,,,,,
GCD 12,Doenças e Perturbações do Aparelho Genital Masculino,,,,,,,,,,,,,,,
480,Procedimentos major pélvicos masculinos,1,C,1.0939,2499.5615,1.0939,2499.5615,-,-,1,14,21,7.33,2499.5615,2499.5615,
480,Procedimentos major pélvicos masculinos,2,C,1.2598,2878.643,1.2598,2878.643,-,-,1,14,21,8.08,2878.643,2878.643,
480,Procedimentos major pélvicos masculinos,3,C,2.5205,5759.3425,-,-,2878.748747,4215.83871,2,30,44,14.14,5759.3425,-,
480,Procedimentos major pélvicos masculinos,4,C,9.1583,20926.7155,-,-,3486.66860406667,15318.355746,6,77,113,47.08,20926.7155,-,
481,Procedimentos no pénis,1,C,0.7132,1629.662,0.7132,1629.662,-,-,1,11,16,4.05,1402.42710108063,1176.20805275025,
481,Procedimentos no pénis,2,C,1.0087,2304.8795,1.0087,2304.8795,-,-,1,17,25,6.12,2304.8795,2304.8795,
481,Procedimentos no pénis,3,C,3.2599,7448.8715,-,-,2482.16175106667,5452.573938,3,53,78,23.89,7448.8715,-,
481,Procedimentos no pénis,4,C,7.903,18058.355,-,-,1504.38083366667,13218.71586,12,92,132,73.33,18058.355,-,
482,Prostatectomia transuretral,1,C,0.5458,1247.153,0.5458,1247.153,-,-,1,12,18,5.26,1247.153,1247.153,
482,Prostatectomia transuretral,2,C,0.7704,1760.364,-,-,1759.8000672,1288.586448,1,18,27,7.2,1568.86328996952,-,
482,Prostatectomia transuretral,3,C,1.7327,3959.2195,-,-,1319.31705453333,2898.148674,3,45,66,15.15,3959.2195,-,
482,Prostatectomia transuretral,4,C,6.0606,13848.471,-,-,1384.40346408,10137.080772,10,68,97,39,13848.471,-,
483,Procedimentos nos testículos e/ou escroto,1,C,0.4934,1127.419,0.4934,1127.419,-,-,1,7,10,2.36,970.132018641273,789.1933,
483,Procedimentos nos testículos e/ou escroto,2,C,1.3511,3087.2635,1.3511,3087.2635,-,-,1,20,30,7.7,3087.2635,3087.2635,
483,Procedimentos nos testículos e/ou escroto,3,C,4.3802,10008.757,-,-,1667.59178226667,7326.410124,6,54,78,24.94,10008.757,-,
483,Procedimentos nos testículos e/ou escroto,4,C,23.4391,53558.3435,-,-,2677.05930394,39204.707442,20,119,169,97.33,53558.3435,-,
484,Outros procedimentos do aparelho reprodutor masculino e/ou outros procedimentos relacionados,1,C,0.7341,1677.4185,0.7341,1677.4185,-,-,1,14,21,4.52,1677.4185,1677.4185,
484,Outros procedimentos do aparelho reprodutor masculino e/ou outros procedimentos relacionados,2,C,0.9129,2085.9765,0.9129,2085.9765,-,-,1,14,21,3.59,2388.25841637307,2085.9765,
484,Outros procedimentos do aparelho reprodutor masculino e/ou outros procedimentos relacionados,3,C,1.7234,3937.969,1.7234,3937.969,-,-,1,41,61,10.99,3937.969,3937.969,
484,Outros procedimentos do aparelho reprodutor masculino e/ou outros procedimentos relacionados,4,C,5.8454,13356.739,-,-,1907.4943096,9777.132948,7,41,58,28,13356.739,-,
500,Doenças malignas do aparelho reprodutor masculino,1,M,0.3044,695.554,-,-,347.777,-,1,13,19,3.94,-,-,
500,Doenças malignas do aparelho reprodutor masculino,2,M,0.8233,1881.2405,-,-,627.080166666667,-,2,33,49,10.25,-,-,
500,Doenças malignas do aparelho reprodutor masculino,3,M,1.4531,3320.3335,-,-,830.083375,-,3,44,65,14.72,-,-,
500,Doenças malignas do aparelho reprodutor masculino,4,M,2.6141,5973.2185,-,-,1194.6437,-,4,50,73,20.72,-,-,
501,Diagnósticos do aparelho reprodutor masculino exceto doenças malignas,1,M,0.2678,611.923,0.2678,611.923,0,-,1,10,15,3.11,428.3461,428.3461,
501,Diagnósticos do aparelho reprodutor masculino exceto doenças malignas,2,M,0.4849,1107.9965,0.2678,611.923,248.03675,-,1,23,34,7.24,1107.9965,611.923,
501,Diagnósticos do aparelho reprodutor masculino exceto doenças malignas,3,M,0.9414,2151.099,-,-,717.033,-,2,35,52,11.46,2151.099,-,
501,Diagnósticos do aparelho reprodutor masculino exceto doenças malignas,4,M,2.3832,5445.612,-,-,907.602,-,5,48,70,19.09,5445.612,-,
,,,,,,,,,,,,,,,,
GCD 13,Doenças e Perturbações do Aparelho Genital Feminino,,,,,,,,,,,,,,,
510,"Evisceração pélvica, histerectomia radical e/ou outros procedimentos ginecológicos radicais",1,C,1.1985,2738.5725,1.1985,2738.5725,-,-,1,17,25,8.51,2995.05265165542,2738.5725,
510,"Evisceração pélvica, histerectomia radical e/ou outros procedimentos ginecológicos radicais",2,C,1.4985,3424.0725,1.4985,3424.0725,-,-,1,21,31,11.11,3424.0725,3424.0725,
510,"Evisceração pélvica, histerectomia radical e/ou outros procedimentos ginecológicos radicais",3,C,4.4614,10194.299,-,-,2038.20665104,7462.226868,5,61,89,31.35,10194.299,-,
510,"Evisceração pélvica, histerectomia radical e/ou outros procedimentos ginecológicos radicais",4,C,10.3587,23669.6295,-,-,3380.2924188,17326.168794,7,64,93,34.67,23669.6295,-,
511,Procedimentos no útero e/ou anexos por doença maligna ovárica e/ou anexial,1,C,1.007,2300.995,1.007,2300.995,-,-,1,16,24,6.8,2300.995,2300.995,
511,Procedimentos no útero e/ou anexos por doença maligna ovárica e/ou anexial,2,C,1.4666,3351.181,-,-,1675.0537244,2453.064492,2,26,38,10.13,3351.181,-,
511,Procedimentos no útero e/ou anexos por doença maligna ovárica e/ou anexial,3,C,2.7944,6385.204,-,-,2127.71949973333,4673.969328,3,44,65,18.47,6385.204,-,
511,Procedimentos no útero e/ou anexos por doença maligna ovárica e/ou anexial,4,C,7.772,17759.02,-,-,2536.190128,12999.60264,7,57,82,27.54,17759.02,-,
512,Procedimentos no útero e/ou anexos por doença maligna não ovárica e/ou não anexial,1,C,0.9286,2121.851,0.9286,2121.851,-,-,1,10,15,5.38,2121.851,2121.851,
512,Procedimentos no útero e/ou anexos por doença maligna não ovárica e/ou não anexial,2,C,1.1255,2571.7675,1.1255,2571.7675,-,-,1,11,16,7.36,2571.7675,2571.7675,
512,Procedimentos no útero e/ou anexos por doença maligna não ovárica e/ou não anexial,3,C,2.9831,6816.3835,-,-,2271.39995693333,4989.592722,3,53,78,23.56,6816.3835,-,
512,Procedimentos no útero e/ou anexos por doença maligna não ovárica e/ou não anexial,4,C,8.3053,18977.6105,-,-,3794.30620408,13891.610886,5,62,91,32.75,18977.6105,-,
513,Procedimentos no útero e/ou anexos por doença não maligna exceto mioma uterino,1,C,0.6484,1481.594,0.6484,1481.594,-,-,1,8,12,3.64,1139.15129954798,1037.1158,
513,Procedimentos no útero e/ou anexos por doença não maligna exceto mioma uterino,2,C,0.7942,1814.747,0.7942,1814.747,-,-,1,11,16,4.49,1514.32036408249,1514.32036408249,
513,Procedimentos no útero e/ou anexos por doença não maligna exceto mioma uterino,3,C,1.6469,3763.1665,1.6469,3763.1665,-,-,1,41,61,13.75,3763.1665,3763.1665,
513,Procedimentos no útero e/ou anexos por doença não maligna exceto mioma uterino,4,C,8.193,18721.005,-,-,2673.572532,13703.77566,7,64,93,35.06,18721.005,-,
514,Procedimentos reconstrutivos do aparelho reprodutor feminino,1,C,0.4955,1132.2175,0.4955,1132.2175,-,-,1,5,7,2.57,1358.661,1132.2175,
514,Procedimentos reconstrutivos do aparelho reprodutor feminino,2,C,0.7432,1698.212,0.7432,1698.212,-,-,1,8,12,3.66,1698.8577227184,1698.212,
514,Procedimentos reconstrutivos do aparelho reprodutor feminino,3,C,1.3946,3186.661,1.3946,3186.661,-,-,1,35,52,18.18,3186.661,3186.661,
514,Procedimentos reconstrutivos do aparelho reprodutor feminino,4,C,4.5412,10376.642,-,-,2593.3294604,7595.701944,4,67,99,35.5,10376.642,-,
517,Dilatação e/ou curetagem por diagnósticos não obstétricos,1,C,0.4128,943.248,0.4128,943.248,-,-,1,4,6,1.83,660.2736,660.2736,
517,Dilatação e/ou curetagem por diagnósticos não obstétricos,2,C,0.5801,1325.5285,0.5801,1325.5285,-,-,1,5,7,3.41,1325.5285,1325.5285,
517,Dilatação e/ou curetagem por diagnósticos não obstétricos,3,C,2.0527,4690.4195,-,-,4688.9169236,3433.387074,1,41,61,11.38,4690.4195,-,
517,Dilatação e/ou curetagem por diagnósticos não obstétricos,4,C,3.874,8852.09,-,-,4424.627116,6479.72988,2,35,52,11.38,8852.09,-,
518,Outros procedimentos do aparelho reprodutor feminino e/ou outros procedimentos relacionados,1,C,0.5385,1230.4725,0.5385,1230.4725,-,-,1,4,6,2.26,955.528623019802,861.33075,
518,Outros procedimentos do aparelho reprodutor feminino e/ou outros procedimentos relacionados,2,C,0.9164,2093.974,0.9164,2093.974,-,-,1,17,25,6.43,2093.974,2093.974,
518,Outros procedimentos do aparelho reprodutor feminino e/ou outros procedimentos relacionados,3,C,2.8842,6590.397,-,-,3294.1428828,4824.170604,2,49,73,16.94,6590.397,-,
518,Outros procedimentos do aparelho reprodutor feminino e/ou outros procedimentos relacionados,4,C,7.6191,17409.6435,-,-,2175.50828985,12743.859042,8,74,107,44.17,17409.6435,-,
519,Procedimentos no útero e/ou anexos por mioma uterino,1,C,0.7271,1661.4235,0.7271,1661.4235,-,-,1,9,13,4.24,1162.99645,1162.99645,
519,Procedimentos no útero e/ou anexos por mioma uterino,2,C,0.8718,1992.063,0.8718,1992.063,-,-,1,9,13,5.19,1992.063,1992.063,
519,Procedimentos no útero e/ou anexos por mioma uterino,3,C,1.797,4106.145,-,-,2052.414798,3005.69814,2,35,52,12.09,4106.145,-,
519,Procedimentos no útero e/ou anexos por mioma uterino,4,C,4.2955,9815.2175,-,-,3270.69106466667,7184.73921,3,35,51,13.5,9815.2175,-,
530,Doenças malignas do aparelho reprodutor feminino,1,M,0.4301,982.7785,-,-,491.38925,-,1,19,28,5.19,-,-,
530,Doenças malignas do aparelho reprodutor feminino,2,M,0.7294,1666.679,-,-,833.3395,-,1,32,48,9.57,-,-,
530,Doenças malignas do aparelho reprodutor feminino,3,M,1.8104,4136.764,-,-,1034.191,-,3,45,66,15.6,-,-,
530,Doenças malignas do aparelho reprodutor feminino,4,M,4.7628,10882.998,-,-,2176.5996,-,4,56,82,26.79,-,-,
531,Infeções do aparelho reprodutor feminino,1,M,0.2938,671.333,0.2023,462.2555,104.53875,-,1,13,19,4.03,671.333,554.7066,
531,Infeções do aparelho reprodutor feminino,2,M,0.6289,1437.0365,0.2023,462.2555,487.3905,-,1,22,33,8.8,1437.0365,554.7066,
531,Infeções do aparelho reprodutor feminino,3,M,1.5409,3520.9565,-,-,880.239125,-,3,41,60,15.7,3520.9565,-,
531,Infeções do aparelho reprodutor feminino,4,M,4.0667,9292.4095,-,-,2323.102375,-,3,51,75,22.25,9292.4095,-,
532,Perturbações menstruais e/ou outras perturbações do aparelho reprodutor feminino,1,M,0.2023,462.2555,0.2023,462.2555,0,-,1,4,6,2.18,554.7066,554.7066,
532,Perturbações menstruais e/ou outras perturbações do aparelho reprodutor feminino,2,M,0.294,671.79,0.2023,462.2555,104.76725,-,1,10,15,3.87,671.79,554.7066,
532,Perturbações menstruais e/ou outras perturbações do aparelho reprodutor feminino,3,M,0.5946,1358.661,0.2023,462.2555,448.20275,-,1,28,42,7.88,1358.661,554.7066,
532,Perturbações menstruais e/ou outras perturbações do aparelho reprodutor feminino,4,M,1.1913,2722.1205,-,-,226.843375,-,11,66,94,36.5,2722.1205,-,
,,,,,,,,,,,,,,,,
GCD 14,"Gravidez, Parto e Puerpério",,,,,,,,,,,,,,,
540,Parto por cesariana,1,C,0.4273,976.3805,-,-,976.0677164,714.710526,1,6,9,3.93,950.942162488628,-,
540,Parto por cesariana,2,C,0.5267,1203.5095,-,-,1203.1239556,880.968954,1,9,13,5.36,1125.59354402225,-,
540,Parto por cesariana,3,C,0.8873,2027.4805,-,-,1013.4154982,1484.115726,2,25,37,10.06,2027.4805,-,
540,Parto por cesariana,4,C,3.1819,7270.6415,-,-,1817.0780873,5322.109578,4,45,66,26.29,7270.6415,-,
541,"Parto vaginal, com esterilização e/ou dilatação e/ou curetagem em BO",1,C,0.3713,848.4205,0.3713,848.4205,-,-,1,8,12,3.73,848.4205,848.4205,
541,"Parto vaginal, com esterilização e/ou dilatação e/ou curetagem em BO",2,C,0.4115,940.2775,-,-,939.976282,688.28313,1,9,13,4.4,940.2775,-,
541,"Parto vaginal, com esterilização e/ou dilatação e/ou curetagem em BO",3,C,0.6132,1401.162,-,-,1400.7131376,1025.650584,1,10,15,5.48,1401.162,-,
541,"Parto vaginal, com esterilização e/ou dilatação e/ou curetagem em BO",4,C,2.1171,4837.5735,-,-,4836.0237828,3541.103802,1,10,15,6,4837.5735,-,
542,"Parto vaginal, com procedimentos complicados, exceto esterilização e/ou dilatação e/ou curetagem em BO",1,C,0.3057,698.5245,0.3057,698.5245,-,-,1,5,7,3.15,698.5245,698.5245,
542,"Parto vaginal, com procedimentos complicados, exceto esterilização e/ou dilatação e/ou curetagem em BO",2,C,0.3381,772.5585,-,-,772.3110108,565.512822,1,8,12,3.87,772.5585,-,
542,"Parto vaginal, com procedimentos complicados, exceto esterilização e/ou dilatação e/ou curetagem em BO",3,C,0.7213,1648.1705,-,-,1647.6425084,1206.460806,1,21,31,8.88,1648.1705,-,
542,"Parto vaginal, com procedimentos complicados, exceto esterilização e/ou dilatação e/ou curetagem em BO",4,C,3.3617,7681.4845,-,-,3839.5118678,5622.846654,2,44,65,13.5,7681.4845,-,
544,"Dilatação e/ou curetagem, curetagem aspirativa e/ou histerotomia por diagnósticos obstétricos",1,C,0.338,772.33,0.338,772.33,-,-,1,4,6,1.66,772.33,772.33,
544,"Dilatação e/ou curetagem, curetagem aspirativa e/ou histerotomia por diagnósticos obstétricos",2,C,0.4206,961.071,0.4206,961.071,-,-,1,7,10,2.77,961.071,961.071,
544,"Dilatação e/ou curetagem, curetagem aspirativa e/ou histerotomia por diagnósticos obstétricos",3,C,1.0532,2406.562,-,-,2405.7910576,1761.603384,1,21,31,8.02,2406.562,-,
544,"Dilatação e/ou curetagem, curetagem aspirativa e/ou histerotomia por diagnósticos obstétricos",4,C,2.8165,6435.7025,-,-,643.3640822,4710.93423,10,58,82,28.33,6435.7025,-,
545,Procedimentos por gravidez ectópica,1,C,0.5709,1304.5065,-,-,1304.0886012,954.898758,1,8,12,3.32,1304.5065,-,
545,Procedimentos por gravidez ectópica,2,C,0.5786,1322.101,-,-,1321.6774648,967.777932,1,8,12,3.6,1322.101,-,
545,Procedimentos por gravidez ectópica,3,C,0.6796,1552.886,-,-,1552.3885328,1136.712552,1,9,13,3.93,1552.886,-,
545,Procedimentos por gravidez ectópica,4,C,2.0417,4665.2845,-,-,2331.8949878,3414.988254,2,9,13,8,4665.2845,-,
546,Outros procedimentos em BO por diagnósticos obstétricos exceto diagnósticos de parto,1,C,0.5024,1147.984,0.5024,1147.984,-,-,1,11,16,5.36,1147.984,1147.984,
546,Outros procedimentos em BO por diagnósticos obstétricos exceto diagnósticos de parto,2,C,0.8007,1829.5995,0.8007,1829.5995,-,-,1,21,31,6.78,1829.5995,1829.5995,
546,Outros procedimentos em BO por diagnósticos obstétricos exceto diagnósticos de parto,3,C,1.5361,3509.9885,-,-,1754.4320374,2569.311582,2,38,56,9.7,3509.9885,-,
546,Outros procedimentos em BO por diagnósticos obstétricos exceto diagnósticos de parto,4,C,5.6872,12995.252,-,-,6495.5444848,9512.524464,2,38,56,10,12995.252,-,
560,Parto vaginal,1,M,0.2593,592.5005,-,-,296.25025,-,1,5,7,2.83,-,-,
560,Parto vaginal,2,M,0.2923,667.9055,-,-,333.95275,-,1,8,12,3.62,-,-,
560,Parto vaginal,3,M,0.4441,1014.7685,-,-,507.38425,-,1,12,18,6.2,-,-,
560,Parto vaginal,4,M,1.3347,3049.7895,-,-,1016.5965,-,2,37,55,11.43,-,-,
561,"Diagnósticos pós-parto e/ou pós-aborto, sem procedimentos",1,M,0.2304,526.464,-,-,263.232,-,1,8,12,3.31,-,-,
561,"Diagnósticos pós-parto e/ou pós-aborto, sem procedimentos",2,M,0.3536,807.976,-,-,403.988,-,1,12,18,4.79,-,-,
561,"Diagnósticos pós-parto e/ou pós-aborto, sem procedimentos",3,M,0.6565,1500.1025,-,-,750.05125,-,1,18,27,6.95,-,-,
561,"Diagnósticos pós-parto e/ou pós-aborto, sem procedimentos",4,M,4.0563,9268.6455,-,-,617.9097,-,14,72,101,35.67,-,-,
563,Trabalho de Parto Prematuro,1,M,0.2898,662.193,-,-,331.0965,-,1,11,16,5.03,-,-,
563,Trabalho de Parto Prematuro,2,M,0.4292,980.722,-,-,490.361,-,1,18,27,8.32,-,-,
563,Trabalho de Parto Prematuro,3,M,0.7502,1714.207,-,-,857.1035,-,1,44,66,14.61,-,-,
563,Trabalho de Parto Prematuro,4,M,0.8632,1972.412,-,-,328.735333333333,-,5,56,82,14.61,-,-,
564,Aborto sem dilatação e/ou curetagem aspirativa e/ou histerotomia,1,M,0.1756,401.246,0.108192560175055,247.22,77.013,-,1,3,4,1.42,-,-,
564,Aborto sem dilatação e/ou curetagem aspirativa e/ou histerotomia,2,M,0.2301,525.7785,0.108192560175055,247.22,139.27925,-,1,7,10,2.66,-,-,
564,Aborto sem dilatação e/ou curetagem aspirativa e/ou histerotomia,3,M,0.3157,721.3745,-,-,360.68725,-,1,11,16,3,-,-,
564,Aborto sem dilatação e/ou curetagem aspirativa e/ou histerotomia,4,M,1.6802,3839.257,-,-,1279.75233333333,-,2,11,16,10,-,-,
565,Falso trabalho de parto,1,M,0.137,313.045,-,-,156.5225,-,1,4,6,1.81,-,-,
565,Falso trabalho de parto,2,M,0.1673,382.2805,-,-,191.14025,-,1,7,10,2.71,-,-,
565,Falso trabalho de parto,3,M,0.2829,646.4265,-,-,323.21325,-,1,9,13,2.5,-,-,
565,Falso trabalho de parto,4,M,0.3112,711.092,-,-,355.546,-,1,40,60,2.71,-,-,
566,Outros diagnósticos anteparto,1,M,0.256,584.96,-,-,292.48,-,1,11,16,3.86,-,-,
566,Outros diagnósticos anteparto,2,M,0.3599,822.3715,-,-,411.18575,-,1,17,25,5.76,-,-,
566,Outros diagnósticos anteparto,3,M,0.6755,1543.5175,-,-,771.75875,-,1,24,36,10.32,-,-,
566,Outros diagnósticos anteparto,4,M,2.7306,6239.421,-,-,1247.8842,-,4,47,69,17.4,-,-,
,,,,,,,,,,,,,,,,
GCD 15,Recém-nascidos e Lactentes com Afecções do Período Perinatal,,,,,,,,,,,,,,,
580,"Recém-nascido transferido, com menos de cinco dias, de idade, nascido fora do hospital relator",1,M,0.1485,339.3225,-,-,169.66125,-,1,4,5,1.82,-,-,
580,"Recém-nascido transferido, com menos de cinco dias, de idade, nascido fora do hospital relator",2,M,0.2234,510.469,-,-,255.2345,-,1,4,5,2.35,-,-,
580,"Recém-nascido transferido, com menos de cinco dias, de idade, nascido fora do hospital relator",3,M,0.3606,823.971,-,-,411.9855,-,1,4,5,1.7,-,-,
580,"Recém-nascido transferido, com menos de cinco dias, de idade, nascido fora do hospital relator",4,M,0.3776,862.816,-,-,431.408,-,1,4,5,0.8,-,-,
581,"Recém-nascido transferido, com menos de cinco dias, de idade, nascido no hospital relator",1,M,0.1071,244.7235,-,-,122.36175,-,1,4,5,1.77,-,-,
581,"Recém-nascido transferido, com menos de cinco dias, de idade, nascido no hospital relator",2,M,0.1083,247.4655,-,-,123.73275,-,1,4,5,1,-,-,
581,"Recém-nascido transferido, com menos de cinco dias, de idade, nascido no hospital relator",3,M,0.1453,332.0105,-,-,166.00525,-,1,4,5,0.51,-,-,
581,"Recém-nascido transferido, com menos de cinco dias, de idade, nascido no hospital relator",4,M,0.262,598.67,-,-,299.335,-,1,4,5,0.38,-,-,
583,Recém-nascido com oxigenação por membrana extra-corporal,1,C,24.6692,56369.122,-,-,11270.21282912,41262.197304,5,30,43,70,56369.122,-,
583,Recém-nascido com oxigenação por membrana extra-corporal,2,C,27.4102,62632.307,-,-,10435.3737889333,45846.848724,6,30,42,70,62632.307,-,
583,Recém-nascido com oxigenação por membrana extra-corporal,3,C,31.5658,72127.853,-,-,4241.45569614118,52797.588396,17,70,97,70,72127.853,-,
583,Recém-nascido com oxigenação por membrana extra-corporal,4,C,50.1672,114632.052,-,-,4774.8054004,83910.662064,24,129,182,99,114632.052,-,
588,"Recém-nascido, peso ao nascer < 1500g, com procedimentos major",1,C,15.5323,35491.3055,-,-,35479.9358564,25979.635626,1,145,217,35.33,35491.3055,-,
588,"Recém-nascido, peso ao nascer < 1500g, com procedimentos major",2,C,17.2581,39434.7585,-,-,1516.23559887692,28866.243222,26,85,115,35.33,39474.2073184459,-,
588,"Recém-nascido, peso ao nascer < 1500g, com procedimentos major",3,C,37.9614,86741.799,-,-,3096.9289734,63494.996868,28,124,172,92.45,86741.799,-,
588,"Recém-nascido, peso ao nascer < 1500g, com procedimentos major",4,C,60.71,138722.35,-,-,4202.36091757576,101544.7602,33,134,185,104.69,138722.35,-,
589,"Recém-nascido, peso ao nascer <500g ou Gestação <24 semanas",1,M,2.9623,7445.6725,-,-,3722.83625,-,1,37,55,22,-,-,
589,"Recém-nascido, peso ao nascer <500g ou Gestação <24 semanas",2,M,3.2585,8502.485,-,-,4251.2425,-,1,94,141,64.43,-,-,
589,"Recém-nascido, peso ao nascer <500g ou Gestação <24 semanas",3,M,3.721,8502.485,-,-,4251.2425,-,1,94,141,13.96,-,-,
589,"Recém-nascido, peso ao nascer <500g ou Gestação <24 semanas",4,M,8.0845,18473.0825,-,-,9236.54125,-,1,94,141,6.21,-,-,
591,"Recém-nascido, peso ao nascer entre 500 e 749g, sem procedimentos major",1,M,2.871,6560.235,-,-,3280.1175,-,1,3,4,0,-,-,
591,"Recém-nascido, peso ao nascer entre 500 e 749g, sem procedimentos major",2,M,15.221,34779.985,-,-,5796.66416666667,-,5,63,92,33.14,-,-,
591,"Recém-nascido, peso ao nascer entre 500 e 749g, sem procedimentos major",3,M,22.783,52059.155,-,-,2169.13145833333,-,23,82,112,52.15,-,-,
591,"Recém-nascido, peso ao nascer entre 500 e 749g, sem procedimentos major",4,M,36.1772,82664.902,-,-,3306.59608,-,24,84,114,54.88,-,-,
593,"Recém-nascido, peso ao nascer entre 750 e 999g, sem procedimentos major",1,M,7.8265,17883.5525,-,-,1192.23683333333,-,14,79,112,20.25,-,-,
593,"Recém-nascido, peso ao nascer entre 750 e 999g, sem procedimentos major",2,M,14.6577,33492.8445,-,-,2093.30278125,-,15,81,114,50.15,-,-,
593,"Recém-nascido, peso ao nascer entre 750 e 999g, sem procedimentos major",3,M,17.6392,40305.572,-,-,2370.916,-,16,86,121,56.31,-,-,
593,"Recém-nascido, peso ao nascer entre 750 e 999g, sem procedimentos major",4,M,28.2017,64440.8845,-,-,2801.77758695652,-,22,89,123,59.58,-,-,
602,"Recém-nascido, peso ao nascer entre 1000 e 1249g, com síndrome de dificuldade respiratória/ outras anomalias respiratórias major ou outras anomalias major",1,M,6.296,14386.36,-,-,1307.85090909091,-,10,70,100,40.5,-,-,
602,"Recém-nascido, peso ao nascer entre 1000 e 1249g, com síndrome de dificuldade respiratória/ outras anomalias respiratórias major ou outras anomalias major",2,M,8.9148,20370.318,-,-,1697.5265,-,11,76,109,46.91,-,-,
602,"Recém-nascido, peso ao nascer entre 1000 e 1249g, com síndrome de dificuldade respiratória/ outras anomalias respiratórias major ou outras anomalias major",3,M,13.6768,31251.488,-,-,2083.43253333333,-,14,83,118,53.69,-,-,
602,"Recém-nascido, peso ao nascer entre 1000 e 1249g, com síndrome de dificuldade respiratória/ outras anomalias respiratórias major ou outras anomalias major",4,M,20.528,46906.48,-,-,2931.655,-,15,86,122,56.73,-,-,
603,"Recém-nascido, peso ao nascer entre 1000 e 1249g, com ou sem patologias significativas",1,M,4.0895,9344.5075,-,-,934.45075,-,9,59,84,29.13,-,-,
603,"Recém-nascido, peso ao nascer entre 1000 e 1249g, com ou sem patologias significativas",2,M,7.2115,16478.2775,-,-,1373.18979166667,-,11,71,101,41.72,-,-,
603,"Recém-nascido, peso ao nascer entre 1000 e 1249g, com ou sem patologias significativas",3,M,12.7196,29064.286,-,-,2235.71430769231,-,12,76,108,45.33,-,-,
603,"Recém-nascido, peso ao nascer entre 1000 e 1249g, com ou sem patologias significativas",4,M,20.7505,47414.8925,-,-,3160.99283333333,-,14,76,107,29.83,-,-,
607,"Recém-nascido, peso ao nascer entre 1250 e 1499g, com síndrome de dificuldade respiratória/ outras anomalias respiratórias major ou outras anomalias major",1,M,3.9705,9072.5925,-,-,1134.0740625,-,7,53,76,27.92,-,-,
607,"Recém-nascido, peso ao nascer entre 1250 e 1499g, com síndrome de dificuldade respiratória/ outras anomalias respiratórias major ou outras anomalias major",2,M,6.5574,14983.659,-,-,1362.15081818182,-,10,67,96,37.5,-,-,
607,"Recém-nascido, peso ao nascer entre 1250 e 1499g, com síndrome de dificuldade respiratória/ outras anomalias respiratórias major ou outras anomalias major",3,M,8.8827,20296.9695,-,-,1691.414125,-,11,73,104,43.87,-,-,
607,"Recém-nascido, peso ao nascer entre 1250 e 1499g, com síndrome de dificuldade respiratória/ outras anomalias respiratórias major ou outras anomalias major",4,M,13.3252,30448.082,-,-,2174.863,-,13,73,103,39.16,-,-,
608,"Recém-nascido, peso ao nascer entre 1250 e 1499g, com ou sem patologias significativas",1,M,2.9372,6711.502,-,-,1342.3004,-,4,53,78,25.15,-,-,
608,"Recém-nascido, peso ao nascer entre 1250 e 1499g, com ou sem patologias significativas",2,M,4.8622,11110.127,-,-,2222.0254,-,4,57,84,32.99,-,-,
608,"Recém-nascido, peso ao nascer entre 1250 e 1499g, com ou sem patologias significativas",3,M,7.2969,16673.4165,-,-,3334.6833,-,4,64,94,35,-,-,
608,"Recém-nascido, peso ao nascer entre 1250 e 1499g, com ou sem patologias significativas",4,M,11.3499,25934.5215,-,-,5186.9043,-,4,64,94,21,-,-,
609,"Recém-nascido, peso ao nascer entre 1500 e 2499g, com procedimento major",1,C,2.2058,5040.253,-,-,5038.6383544,3689.465196,1,12,18,4.5,5040.253,-,
609,"Recém-nascido, peso ao nascer entre 1500 e 2499g, com procedimento major",2,C,4.3257,9884.2245,-,-,1976.21161752,7235.252334,5,53,77,22,9884.2245,-,
609,"Recém-nascido, peso ao nascer entre 1500 e 2499g, com procedimento major",3,C,10.7667,24601.9095,-,-,2732.6698084,18008.597754,9,99,144,76.83,24601.9095,-,
609,"Recém-nascido, peso ao nascer entre 1500 e 2499g, com procedimento major",4,C,23.4712,53631.692,-,-,4467.87592346667,39258.398544,12,120,174,88.04,53631.692,-,
611,"Recém-nascido, peso ao nascer entre 1500 e 1999g, com anomalia major",1,M,1.696,3875.36,-,-,775.072,-,4,40,58,18.16,-,-,
